,S1,S2,S3,S4,S5
LogisticRegression,0.46113989637305697,0.866580310880829,0.8639896373056994,0.8911917098445595,0.21761658031088082
RandomForestClassifier,0.6308290155440415,1.0,1.0,1.0,0.4740932642487047
SVC,0.5544041450777202,0.7487046632124352,0.7370466321243523,0.6826424870466321,0.3626943005181347
KNeighborsClassifier,0.5971502590673575,0.9805699481865285,0.9805699481865285,0.8147668393782384,0.19041450777202074
XGBClassifier,0.6930051813471503,1.0,1.0,1.0,0.09844559585492228
