,S1,S2,S3,S4,S5
LogisticRegression,0.46113989637305697,0.866580310880829,0.866580310880829,0.8950777202072538,0.21761658031088082
RandomForestClassifier,0.6683937823834197,1.0,1.0,1.0,0.533678756476684
SVC,0.5544041450777202,0.7487046632124352,0.7435233160621761,0.6437823834196891,0.3626943005181347
KNeighborsClassifier,0.5971502590673575,0.9805699481865285,0.9805699481865285,0.7953367875647669,0.19041450777202074
XGBClassifier,0.6930051813471503,1.0,1.0,1.0,0.09844559585492228
